['5 Y228', '5 Year Task', '03/01/2024', '03/01/2029', 'High', 'Incomplete', 'None']
['CAL296', 'Calculate any Transactional Pruchases based on Fundraising Events', '09/01/2024', '09/01/2024', 'High', 'Currently Working', 'None']
['CAL583', 'Calculate Transactions and Details', '28/12/2023', '28/12/2023', 'High', 'Completed', '']
['CAL999', 'Calculate the amount of relevant money from the fundraising event', '03/01/2024', '31/01/2024', 'High', 'Completed', 'None']
['COM411', 'Complete Certain Tasks', '03/01/2024', '03/01/2024', 'Medium', 'Currently Working', 'None']
['PLE727', 'Please Move on', '03/01/2024', '03/01/2024', 'Medium', 'Completed', 'None']
['PRO374', 'Provide Such Task Details', '04/01/2024', '04/01/2024', 'High', 'Currently Working', 'None']
['PRO407', 'Processing Payroll', '03/01/2024', '18/01/2024', 'High', 'Incomplete', 'None']
['PRO860', 'Processing', '03/01/2024', '18/01/2024', 'Medium', 'Currently Working', 'Project Details']
['SOR228', 'Sort Transaction Fields', '03/01/2024', '03/01/2024', 'Critical', 'Completed', 'None']
['TAS558', 'Task Details', '03/01/2024', '03/01/2024', 'Medium', 'Incomplete', 'None']
['TAS611', 'Task Name', '02/01/2024', '02/01/2024', 'High', 'Incomplete', 'None']
['TAS643', 'Task Detail', '03/01/2024', '18/01/2024', 'Medium', 'Currently Working', 'Project Details']
['TRA604', 'Transfer a subsequent amount of money to the user', '03/01/2024', '03/01/2024', 'Critical', 'Completed', 'None']
['TRA902', 'Transfer Money to Other Church', '03/01/2024', '04/01/2024', 'Medium', 'Incomplete', 'None']
['WHA716', 'What', '13/01/2024', '14/01/2024', 'High', 'Incomplete', 'None']
